Date,Open,High,Low,Close,Volume
2016-05-02 00:00:00-04:00,175.79703074233328,176.86750868073221,175.36374483091808,176.68910217285156,62188000
2016-05-03 00:00:00-04:00,175.45720462796479,175.69508862030605,174.40370911637817,175.15135192871094,106422100
2016-05-04 00:00:00-04:00,174.15739498150063,174.88804263244828,173.67312263628315,174.17437744140625,92243800
2016-05-05 00:00:00-04:00,174.6416050052538,174.9984310180726,173.7155556174355,174.14035034179688,67619200
2016-05-06 00:00:00-04:00,173.36722052062296,174.82002417935882,173.21430064270663,174.7775421142578,89315000
2016-05-09 00:00:00-04:00,174.65013514745297,175.35528308660804,174.47171563267943,174.9219970703125,74374900
2016-05-10 00:00:00-04:00,175.6271225310977,177.11390398724373,175.5591538231721,177.09690856933594,77472200
2016-05-11 00:00:00-04:00,176.63818635257326,177.1734190140535,175.4402618408203,175.4402618408203,81727000
2016-05-12 00:00:00-04:00,176.11136172533998,176.28128995768517,174.4801518117173,175.4911651611328,89586300
2016-05-13 00:00:00-04:00,175.19385974889587,175.74608774865698,173.63910937941026,173.96194458007812,96474600
2016-05-16 00:00:00-04:00,174.13188481970954,176.15389919084058,174.07240732693987,175.67813110351562,77486800
2016-05-17 00:00:00-04:00,175.4062459236203,175.69510322923796,173.51165209062506,174.0384063720703,114924900
2016-05-18 00:00:00-04:00,173.6900474402525,175.2702841375371,173.00188214628582,174.08935546875,120062100
2016-05-19 00:00:00-04:00,173.36723352412886,173.77503285953244,172.27975998724793,173.48617553710938,115430500
2016-05-20 00:00:00-04:00,174.09786585989488,175.1003881365985,174.04689256787208,174.58213806152344,104990400
2016-05-23 00:00:00-04:00,174.59911999939837,174.87948606839956,174.1573428273716,174.34425354003906,58682600
2016-05-24 00:00:00-04:00,175.15985700821594,176.9185134089353,175.13437036157126,176.60415649414062,93537800
2016-05-25 00:00:00-04:00,177.28384338070174,178.21839703711953,176.60416917273494,177.80209350585938,76621400
2016-05-26 00:00:00-04:00,177.93802199444266,178.16741478288665,177.5387139034762,177.85305786132812,55280700
2016-05-27 00:00:00-04:00,178.01444641062378,178.6261517485952,177.96347312641018,178.61766052246094,64211200
2016-05-31 00:00:00-04:00,178.88953742072263,178.99998818828732,177.71709993028256,178.27783203125,109879400
2016-06-01 00:00:00-04:00,177.66615276960985,178.82159501256743,177.47075081370213,178.6431884765625,69936200
2016-06-02 00:00:00-04:00,178.2439056825398,179.20393314220095,177.768137567361,179.18695068359375,63044700
2016-06-03 00:00:00-04:00,178.62623148616456,179.00005302220788,177.4453023411421,178.65171813964844,101757100
2016-06-06 00:00:00-04:00,179.00847386468456,179.91754069385723,178.8470498136199,179.5607147216797,64887000
2016-06-07 00:00:00-04:00,179.7136617341384,180.40182713900126,179.68817508682545,179.84109497070312,60974800
2016-06-08 00:00:00-04:00,179.9770105373412,180.55473805490792,179.84957731625556,180.4272918701172,66170900
2016-06-09 00:00:00-04:00,179.696666493861,180.2998807295177,179.4248046010163,180.18093872070312,73786900
2016-06-10 00:00:00-04:00,178.80462126420403,179.14445189656794,177.9295321066371,178.47328186035156,113829200
2016-06-13 00:00:00-04:00,177.8700380378212,178.72811866843432,177.01195740720803,177.09690856933594,117751200
2016-06-14 00:00:00-04:00,176.71463357084795,177.34333453029458,175.7970752639697,176.7486114501953,125059300
2016-06-15 00:00:00-04:00,176.74860304695576,177.87006746772474,176.3153170464083,176.50222778320312,109124500
2016-06-16 00:00:00-04:00,176.50223504979886,177.19890472720832,174.66711844773843,177.0289764404297,149533100
2016-06-17 00:00:00-04:00,176.92480509140793,176.95042428447155,175.71211550560253,176.3697052001953,117055700
2016-06-20 00:00:00-04:00,178.33383562724998,179.00849575508488,177.4200414332822,177.5054473876953,82789600
2016-06-21 00:00:00-04:00,177.88980833850454,178.419288947969,177.44572068124083,178.00936889648438,72461700
2016-06-22 00:00:00-04:00,178.1887338125505,178.91464570207364,177.57384711418698,177.7190399169922,95560500
2016-06-23 00:00:00-04:00,179.17936322509908,180.08460935149466,178.71820477564012,180.0333709716797,102731400
2016-06-24 00:00:00-04:00,173.90158969879573,180.06752624940424,173.12443957515057,173.5685272216797,333444400
2016-06-27 00:00:00-04:00,172.15941269714784,172.16796111424463,169.64862792193355,170.45994567871094,230775800
2016-06-28 00:00:00-04:00,172.06551388894243,173.5600277647162,171.75807051325245,173.53440856933594,159382400
2016-06-29 00:00:00-04:00,174.93489683982207,176.71976942477082,174.83242010763226,176.48919677734375,137328600
2016-06-30 00:00:00-04:00,176.95894904941898,178.9487756107237,176.40383620128068,178.8975372314453,165021900
2016-07-01 00:00:00-04:00,178.8975042330917,179.76006022892233,178.73524070789102,179.2732696533203,106055300
2016-07-05 00:00:00-04:00,178.4448925195293,178.55591768190934,177.38593139327895,177.98373413085938,109803700
2016-07-06 00:00:00-04:00,177.4884035203763,179.17079955807648,176.83081401059002,179.05123901367188,96021500
2016-07-07 00:00:00-04:00,179.2305602450273,179.8966850911529,178.17159922355637,178.94020080566406,85593800
2016-07-08 00:00:00-04:00,180.23830150772062,181.8523753049966,180.0077158135036,181.60470581054688,133971000
2016-07-11 00:00:00-04:00,182.0659201807459,182.81745119494929,181.86095362292923,182.24525451660156,73633900
2016-07-12 00:00:00-04:00,183.21028802265488,183.8678776620478,182.27087425209353,183.5689697265625,101275600
2016-07-13 00:00:00-04:00,183.98740732191362,183.99594270707593,183.05654212544937,183.54331970214844,87324100
2016-07-14 00:00:00-04:00,184.80723631585903,185.03782201269067,184.1752790424176,184.568115234375,91230900
2016-07-15 00:00:00-04:00,185.1317850417746,185.32820316074802,183.87639270145345,184.3204803466797,107155400
2016-07-18 00:00:00-04:00,184.44001522531568,184.97804416230315,184.18381034907776,184.81578063964844,58725900
2016-07-19 00:00:00-04:00,184.39732871638222,184.66206900073772,184.1496722336013,184.62791442871094,54345700
2016-07-20 00:00:00-04:00,184.6279132312971,185.6356359885821,184.6279132312971,185.39651489257812,58159500
2016-07-21 00:00:00-04:00,185.2854800511698,185.50751731849573,184.252125202782,184.6962127685547,67777300
2016-07-22 00:00:00-04:00,184.81583016905816,185.57589658587986,184.55108983740817,185.524658203125,62787500
