Date,Open,High,Low,Close,Volume,SMA_10,SMA_50,RSI_14,Daily_Return,MACD,BB_Width,Target
2016-07-12 00:00:00-04:00,183.21028802265488,183.8678776620478,182.27087425209356,183.5689697265625,101275600,179.15885162353516,177.09628173828125,59.896664044606894,0.007263372719756189,1.1834846922268412,0.06848616823562398,0
2016-07-13 00:00:00-04:00,183.9874073219136,183.99594270707595,183.05654212544937,183.54331970214844,87324100,180.1597427368164,177.2333660888672,60.46644649745592,-0.00013972963106057001,1.4142815726753497,0.0739312603879581,1
2016-07-14 00:00:00-04:00,184.80723631585903,185.03782201269067,184.1752790424176,184.568115234375,91230900,180.96763458251954,177.42170135498046,58.54514401055818,0.0055833986978637284,1.660738241435979,0.0799138834048256,0
2016-07-15 00:00:00-04:00,185.1317850417746,185.328203160748,183.87639270145343,184.3204803466797,107155400,181.50992889404296,177.62462341308594,76.46070099227629,-0.0013416991736674433,1.81515093114524,0.08436405238072102,1
2016-07-18 00:00:00-04:00,184.44001522531568,184.97804416230315,184.18381034907776,184.81578063964844,58725900,182.06417999267578,177.83813201904297,90.5450690386306,0.002687169065733519,1.954955187978868,0.08801294929280855,0
2016-07-19 00:00:00-04:00,184.39732871638225,184.6620690007377,184.1496722336013,184.6279144287109,54345700,182.72859802246094,178.03513946533204,87.43517286549306,-0.0010165052480222148,2.027223267668546,0.09112369773229563,1
2016-07-20 00:00:00-04:00,184.6279132312971,185.6356359885821,184.6279132312971,185.39651489257807,58159500,183.36312561035157,178.24462982177735,85.2603984198507,0.004162969972582031,2.1220541560795425,0.09477215728796176,0
2016-07-21 00:00:00-04:00,185.2854800511698,185.50751731849573,184.252125202782,184.6962127685547,67777300,183.93872680664063,178.3966159057617,76.54407738128512,-0.0037773208651151746,2.1163043504272707,0.0964811604113627,1
2016-07-22 00:00:00-04:00,184.81583016905816,185.57589658587983,184.55108983740817,185.524658203125,62787500,184.33072204589843,178.5983038330078,77.47756206899803,0.004485448955082072,2.1537689037375287,0.09960423786975588,0
2016-07-25 00:00:00-04:00,185.3196292758593,185.3708676413711,184.44000258491977,185.02072143554688,55873100,184.60826873779297,178.7888949584961,83.22517060125432,-0.002716279186060433,2.1183770150001067,0.09429252136435531,1
2016-07-26 00:00:00-04:00,184.9182879161025,185.4648523278161,184.2606983324223,185.10617065429688,70080500,184.7619888305664,179.01177947998048,81.51053908801015,0.0004618359397099425,2.0733237405334535,0.07733195516018257,0
2016-07-27 00:00:00-04:00,185.48194314357417,185.550265326512,184.14114473677688,184.9097595214844,84083900,184.8986328125,179.19641204833985,80.79263157397669,-0.0010610728541259329,1.99872984549296,0.06484474771651705,1
